title,status,area,name,re_date,pre_date,corporation
국민임대,모집중,인천광역시,인천검단 AA-5블록 국민임대주택 추가 및 예비입주자 모집공고(‘22.5.18.),2022-05-18,2022-10-13,LH
행복주택,모집중,인천광역시,인천 만부마을 행복주택 예비입주자 추가 모집,2022-05-16,2022-09-07,인천도시공사
행복주택,모집중,인천광역시,인천 화수정원마을1단지 행복주택 예비입주자 추가 모집,2022-05-16,2022-09-07,인천도시공사
10년임대,모집중,인천광역시,동인천역 파크푸르지오 공공임대주택(10년) 지구주민 우선공급 입주자모집 공고,2022-05-13,2022-05-27,인천도시공사
영구임대,모집중,인천광역시,동인천역 파크푸르지오 영구 임대주택 지구주민 우선공급 입주자모집 공고,2022-05-13,2022-05-27,인천도시공사
행복주택,모집중,인천광역시,행복주택(부평우민늘푸른) 예비입주자 모집공고(22.05.09공고),2022-05-09,2022-08-26,LH
국민임대,모집중,인천광역시,인천논현2단지 국민임대주택 예비입주자 모집 공고,2022-05-06,2022-09-16,LH
전세임대,모집중,서울특별시외 16개 지역,2022 다자녀 전세임대 1순위 입주자 모집 공고,2022-05-02,2022-07-31,LH
전세임대,모집중,서울특별시외 15개 지역,2022년 신혼부부 전세임대Ⅱ 입주자 수시모집(자격완화) 공고,2022-04-25,2022-12-30,LH
전세임대,모집중,서울특별시외 15개 지역,2022년 신혼부부 전세임대Ⅰ입주자 수시모집(자격완화) 공고,2022-04-25,2022-12-30,LH
